Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Ticinella primula	Hedbergella planispira	Globigerinelloides caseyi	Biticinella breggiensis	Hedbergella simplex	Guembelitria cenomana	Globigerinelloides bentonensis	Rotalipora brotzeni	Heterohelix moremani	Hedbergella delrioensis	Whiteinella baltica	Praeglobotruncana stephani	Whiteinella archaeocretacea	Whiteinella inornata	Heterohelix reussi	Globigerinelloides prairiehillensis	Hedbergella monmouthensis	Rugoglobigerina rugosa	Rugoglobigerina macrocephala	Rugoglobigerina hexacamerata	Globotruncanita stuarti	Globotruncanella pschadae	Globotruncana arca	Globotruncana aegyptiaca	Contusotruncana fornicata	Rugotruncana subcircumnodifer	Rugoglobigerina scotti	Globotruncana linneiana	Globotruncana esnehensis	Gansserina wiedenmayeri	Contusotruncana patelliformis	Rugoglobigerina rotundata	Globotruncanita stuartiformis	Gansserina gansseri	Contusotruncana contusa	Pseudoguembelina costellifera	Planoglobulina carseyae	Heterohelix labellosa	Heterohelix globulosa	Globotruncanita angulata	Globotruncanella petaloidea	Globotruncanella havanensis	Abathomphalus intermedius	Abathomphalus mayaroensis	Globotruncanita pettersi	Pseudotextularia elegans	Pseudoguembelina palpebra	Globotruncanita elevata	Pseudoguembelina costulata	Hedbergella holmdelensis	Globigerinelloides multispinus	Archaeoglobigerina cretacea	Rugoglobigerina pennyi	Praemurica taurica	Parvularugoglobigerina extensa	Parvularugoglobigerina eugubina	Guembelitria cretacea	Eoglobigerina eobulloides	Woodringina claytonensis	Subbotina triloculinoides	Praemurica pseudoinconstans	Praemurica uncinata	Parasubbotina varianta	Morozovella conicotruncata	Morozovella angulata	Morozovella aequa	Morozovella acuta	Igorina albeari	Globanomalina ehrenbergi	Morozovella velascoensis	Morozovella praeangulata	Subbotina velascoensis	Globanomalina pseudomenardii	Igorina tadjikistanensis	Subbotina triangularis	Morozovella pasionensis	Acarinina soldadoensis	Igorina pusilla	Acarinina nitida	Subbotina cancellata	Acarinina mckannai	Morozovella occlusa	Morozovella apanthesma	Chiloguembelina wilcoxensis	Acarinina coalingensis	Chiloguembelina midwayensis	Morozovella subbotinae	Igorina broedermanni	Acarinina wilcoxensis	Morozovella gracilis	Subbotina patagonica	Pseudohastigerina wilcoxensis	Morozovella lensiformis	Morozovella aragonensis	Morozovella marginodentata	Acarinina quetra	Morozovella formosa	Turborotalia pseudomayeri	Acarinina angulosa	Acarinina pentacamerata	Pseudohastigerina micra	Planorotalites pseudoscitulus	Planorotalites palmerae	Turborotalia griffinae	Globigerina lozanoi	Acarinina aspensis	Guembelitrioides higginsi	Muricoglobigerina senni	Clavigerinella eocanica	Acarinina bullbrooki	Subbotina eocaenica	Chiloguembelina cubensis	Catapsydrax unicavus	Subbotina inaequispira	Clavigerinella akersi	Acarinina praetopilensis	Subbotina boweri	Subbotina frontosa	Acarinina punctocarinata	Turborotalia pomeroli	Subbotina eocaena	Paragloborotalia opima opima	Morozovella lehneri	Globorotaloides suteri	Globigerina euapertura	Globigerina angulisuturalis	Cassigerinella chipolensis	Acarinina rohri	Subbotina gortanii	Globigerina praebulloides	Globigerina ouachitaensis	Globigerina ciperoensis	Sphaeroidinellopsis seminulina	Sphaeroidinellopsis kochi	Paragloborotalia mayeri	Orbulina universa	Globorotalia praemenardii	Globorotalia fohsi robusta	Globoquadrina venezuelana	Globoquadrina dehiscens	Globoquadrina altispira altispira	Globigerinoides trilobus	Globigerinoides ruber	Globigerina sellii	Globigerinoides subquadratus	Globigerinoides sacculifer	Globorotalia miozea	Comment

  IR	                 	                 	                  	              	207	1258	A	 13	R	 7	  49.00	    119.9900	forams   	Planktonic Foraminifers                      	A              	P                 	                 	                      	                         	                       	                   	                     	                              	                   	                    	                       	                   	                          	                           	                    	                  	                                   	                         	                      	                            	                            	                       	                         	                  	                        	                         	                             	                      	                       	                        	                       	                             	                         	                             	                   	                       	                             	                       	                     	                     	                        	                           	                           	                         	                         	                        	                        	                         	                       	                          	                        	                              	                           	                      	                  	                              	                               	                     	                         	                        	                         	                           	                   	                      	                          	                    	                 	                 	               	                        	                        	                        	                      	                            	                        	                      	                       	                      	               	                	                    	                  	                   	                      	                           	                      	                           	                      	                    	                     	                    	                    	                             	P                      	P                      	                          	                	                   	                         	                  	                       	                       	                             	                       	                      	                   	                  	                         	                       	                       	                    	                   	                        	                    	                      	                     	                        	                	                  	                        	                     	                 	                            	                   	                      	                      	                           	                          	               	                  	                         	                         	                       	                              	                         	                       	                 	                         	                          	                         	                       	                                 	                        	                     	                  	                            	                          	                   	       

  IR	                 	                 	                  	              	207	1258	A	 13	R	CC	   0.00	    120.0300	forams   	Planktonic Foraminifers                      	A              	P                 	                 	                      	                         	                       	                   	                     	                              	                   	                    	                       	                   	                          	                           	                    	                  	                                   	                         	                      	                            	                            	                       	                         	                  	                        	                         	                             	                      	                       	                        	                       	                             	                         	                             	                   	                       	                             	                       	                     	                     	                        	                           	                           	                         	                         	                        	                        	                         	                       	                          	                        	                              	                           	                      	                  	                              	                               	                     	                         	                        	                         	                           	                   	                      	                          	                    	                 	                 	               	                        	                        	                        	                      	                            	                        	                      	                       	                      	               	                	                    	                  	                   	                      	                           	                      	                           	P                     	                    	                     	P                   	                    	                             	                       	                       	                          	                	                   	                         	                  	                       	                       	                             	                       	                      	                   	                  	                         	                       	                       	                    	                   	                        	                    	                      	                     	                        	                	                  	                        	                     	                 	                            	                   	                      	                      	                           	                          	               	                  	                         	                         	                       	                              	                         	                       	                 	                         	                          	                         	                       	                                 	                        	                     	                  	                            	                          	                   	       

  IR	                 	                 	                  	              	207	1258	A	 14	R	CC	   8.00	    125.3900	forams   	Planktonic Foraminifers                      	A              	M                 	                 	                      	                         	                       	                   	                     	                              	                   	                    	                       	                   	                          	                           	                    	                  	                                   	                         	                      	                            	                            	                       	                         	                  	                        	                         	                             	                      	                       	                        	                       	                             	                         	                             	                   	                       	                             	                       	                     	                     	                        	                           	                           	                         	                         	                        	                        	                         	                       	                          	                        	                              	                           	                      	                  	                              	                               	                     	                         	                        	                         	                           	                   	                      	                          	                    	P                	                 	               	                        	                        	                        	P                     	                            	                        	                      	                       	P                     	               	                	                    	                  	                   	                      	P                          	P                     	                           	                      	P                   	                     	P                   	                    	                             	                       	                       	                          	                	                   	                         	                  	                       	                       	                             	                       	                      	                   	                  	                         	                       	                       	                    	                   	                        	                    	                      	                     	                        	                	                  	                        	                     	                 	                            	                   	                      	                      	                           	                          	               	                  	                         	                         	                       	                              	                         	                       	                 	                         	                          	                         	                       	                                 	                        	                     	                  	                            	                          	                   	       

  IR	                 	                 	                  	              	207	1258	A	 15	R	 4	  51.00	    134.7100	forams   	Planktonic Foraminifers                      	A              	M                 	                 	                      	                         	                       	                   	                     	                              	                   	                    	                       	                   	                          	                           	                    	                  	                                   	                         	                      	                            	                            	                       	                         	                  	                        	                         	                             	                      	                       	                        	                       	                             	                         	                             	                   	                       	                             	                       	                     	                     	                        	                           	                           	                         	                         	                        	                        	                         	                       	                          	                        	                              	                           	                      	                  	                              	                               	                     	                         	                        	                         	                           	                   	                      	                          	                    	                 	                 	               	                        	                        	                        	                      	                            	                        	P                     	                       	P                     	               	                	                    	                  	                   	                      	P                          	                      	P                          	P                     	P                   	P                    	P                   	P                   	P                            	                       	                       	                          	                	                   	                         	                  	                       	                       	                             	                       	                      	                   	                  	                         	                       	                       	                    	                   	                        	                    	                      	                     	                        	                	                  	                        	                     	                 	                            	                   	                      	                      	                           	                          	               	                  	                         	                         	                       	                              	                         	                       	                 	                         	                          	                         	                       	                                 	                        	                     	                  	                            	                          	                   	       

  IR	                 	                 	                  	              	207	1258	A	 16	R	CC	  15.00	    149.1600	forams   	Planktonic Foraminifers                      	C              	P                 	                 	                      	                         	                       	                   	                     	                              	                   	                    	                       	                   	                          	                           	                    	                  	                                   	                         	                      	                            	                            	                       	                         	                  	                        	                         	                             	                      	                       	                        	                       	                             	                         	                             	                   	                       	                             	                       	                     	                     	                        	                           	                           	                         	                         	                        	                        	                         	                       	                          	                        	                              	                           	                      	                  	                              	                               	                     	                         	                        	                         	                           	                   	                      	                          	                    	                 	                 	               	                        	                        	                        	                      	                            	                        	P                     	                       	P                     	               	                	                    	                  	                   	                      	P                          	                      	                           	P                     	P                   	+                    	P                   	+                   	                             	                       	                       	                          	                	                   	                         	                  	                       	                       	                             	                       	                      	                   	                  	                         	                       	                       	                    	                   	                        	                    	                      	                     	                        	                	                  	                        	                     	                 	                            	                   	                      	                      	                           	                          	               	                  	                         	                         	                       	                              	                         	                       	                 	                         	                          	                         	                       	                                 	                        	                     	                  	                            	                          	                   	       

  IR	                 	                 	                  	              	207	1258	A	 17	R	CC	  12.00	    158.4400	forams   	Planktonic Foraminifers                      	F              	P                 	                 	                      	                         	                       	                   	                     	                              	                   	                    	                       	                   	                          	                           	                    	                  	                                   	                         	                      	                            	                            	                       	                         	                  	                        	                         	                             	                      	                       	                        	                       	                             	                         	                             	                   	                       	                             	                       	                     	                     	                        	                           	                           	                         	                         	                        	                        	                         	                       	                          	                        	                              	                           	                      	                  	                              	                               	                     	                         	                        	                         	                           	                   	                      	                          	                    	                 	                 	               	                        	                        	                        	P                     	                            	                        	+                     	                       	P                     	               	                	                    	                  	                   	P                     	+                          	                      	                           	P                     	P                   	P                    	+                   	                    	                             	                       	                       	                          	                	                   	                         	                  	                       	                       	                             	                       	                      	                   	                  	                         	                       	                       	                    	                   	                        	                    	                      	                     	                        	                	                  	                        	                     	                 	                            	                   	                      	                      	                           	                          	               	                  	                         	                         	                       	                              	                         	                       	                 	                         	                          	                         	                       	                                 	                        	                     	                  	                            	                          	                   	       

  IR	                 	                 	                  	              	207	1258	A	 18	R	 1	  50.00	    159.2000	forams   	Planktonic Foraminifers                      	               	                  	                 	                      	                         	                       	                   	                     	                              	                   	                    	                       	                   	                          	                           	                    	                  	                                   	                         	                      	                            	                            	                       	                         	                  	                        	                         	                             	                      	                       	                        	                       	                             	                         	                             	                   	                       	                             	                       	                     	                     	                        	                           	                           	                         	                         	                        	                        	                         	                       	                          	                        	                              	                           	                      	                  	                              	                               	                     	                         	                        	                         	                           	                   	                      	                          	                    	                 	+                	               	                        	                        	                        	+                     	                            	                        	+                     	                       	+                     	               	                	                    	                  	                   	                      	+                          	                      	                           	+                     	                    	+                    	                    	                    	                             	                       	                       	                          	                	                   	                         	                  	                       	                       	                             	                       	                      	                   	                  	                         	                       	                       	                    	                   	                        	                    	                      	                     	                        	                	                  	                        	                     	                 	                            	                   	                      	                      	                           	                          	               	                  	                         	                         	                       	                              	                         	                       	                 	                         	                          	                         	                       	                                 	                        	                     	                  	                            	                          	                   	       

  IR	                 	                 	                  	              	207	1258	A	 18	R	 7	  50.00	    168.2000	forams   	Planktonic Foraminifers                      	               	                  	                 	                      	                         	                       	                   	                     	                              	                   	                    	                       	                   	                          	                           	                    	                  	                                   	                         	                      	                            	                            	                       	                         	                  	                        	                         	                             	                      	                       	                        	                       	                             	                         	                             	                   	                       	                             	                       	                     	                     	                        	                           	                           	                         	                         	                        	                        	                         	                       	                          	                        	                              	                           	                      	                  	                              	                               	                     	                         	                        	                         	                           	                   	                      	                          	                    	+                	+                	               	                        	                        	                        	                      	                            	                        	+                     	                       	+                     	               	                	                    	                  	                   	                      	                           	+                     	                           	+                     	                    	+                    	                    	                    	                             	                       	                       	                          	                	                   	                         	                  	                       	                       	                             	                       	                      	                   	                  	                         	                       	                       	                    	                   	                        	                    	                      	                     	                        	                	                  	                        	                     	                 	                            	                   	                      	                      	                           	                          	               	                  	                         	                         	                       	                              	                         	                       	                 	                         	                          	                         	                       	                                 	                        	                     	                  	                            	                          	                   	       

  IR	                 	                 	                  	              	207	1258	A	 18	R	CC	   0.00	    168.3500	forams   	Planktonic Foraminifers                      	C              	M                 	                 	                      	                         	                       	                   	                     	                              	                   	                    	                       	                   	                          	                           	                    	                  	                                   	                         	                      	                            	                            	                       	                         	                  	                        	                         	                             	                      	                       	                        	                       	                             	                         	                             	                   	                       	                             	                       	                     	                     	                        	                           	                           	                         	                         	                        	                        	                         	                       	                          	                        	                              	                           	                      	                  	                              	                               	                     	                         	                        	                         	                           	                   	                      	                          	                    	P                	P                	               	                        	P                       	                        	                      	                            	                        	P                     	                       	P                     	               	P               	                    	                  	P                  	                      	+                          	P                     	                           	P                     	+                   	P                    	                    	                    	                             	                       	                       	                          	                	                   	                         	                  	                       	                       	                             	                       	                      	                   	                  	                         	                       	                       	                    	                   	                        	                    	                      	                     	                        	                	                  	                        	                     	                 	                            	                   	                      	                      	                           	                          	               	                  	                         	                         	                       	                              	                         	                       	                 	                         	                          	                         	                       	                                 	                        	                     	                  	                            	                          	                   	       

  IR	                 	                 	                  	              	207	1258	A	 19	R	CC	  24.00	    178.0000	forams   	Planktonic Foraminifers                      	C              	P                 	                 	                      	                         	                       	                   	                     	                              	                   	                    	                       	                   	                          	                           	                    	                  	                                   	                         	                      	                            	                            	                       	                         	                  	                        	                         	                             	                      	                       	                        	                       	                             	                         	                             	                   	                       	                             	                       	                     	                     	                        	                           	                           	                         	                         	                        	                        	                         	                       	                          	                        	                              	                           	                      	                  	                              	                               	                     	                         	                        	                         	                           	                   	                      	                          	                    	P                	P                	               	                        	P                       	                        	                      	                            	                        	                      	                       	P                     	               	                	                    	                  	P                  	                      	P                          	                      	P                          	                      	                    	                     	                    	                    	                             	                       	                       	                          	                	                   	                         	                  	                       	                       	                             	                       	                      	                   	                  	                         	                       	                       	                    	                   	                        	                    	                      	                     	                        	                	                  	                        	                     	                 	                            	                   	                      	                      	                           	                          	               	                  	                         	                         	                       	                              	                         	                       	                 	                         	                          	                         	                       	                                 	                        	                     	                  	                            	                          	                   	       

  IR	                 	                 	                  	              	207	1258	A	 20	R	CC	  18.00	    185.5700	forams   	Planktonic Foraminifers                      	C              	P                 	                 	                      	                         	                       	                   	                     	                              	                   	                    	                       	                   	                          	                           	                    	                  	                                   	                         	                      	                            	                            	                       	                         	                  	                        	                         	                             	                      	                       	                        	                       	                             	                         	                             	                   	                       	                             	                       	                     	                     	                        	                           	                           	                         	                         	                        	                        	                         	                       	                          	                        	                              	                           	                      	                  	                              	                               	                     	                         	                        	P                        	                           	                   	                      	                          	                    	P                	P                	               	                        	                        	                        	P                     	                            	                        	P                     	                       	P                     	               	                	                    	                  	                   	                      	                           	P                     	                           	                      	                    	                     	                    	                    	                             	                       	                       	                          	                	                   	                         	                  	                       	                       	                             	                       	                      	                   	                  	                         	                       	                       	                    	                   	                        	                    	                      	                     	                        	                	                  	                        	                     	                 	                            	                   	                      	                      	                           	                          	               	                  	                         	                         	                       	                              	                         	                       	                 	                         	                          	                         	                       	                                 	                        	                     	                  	                            	                          	                   	       

  IR	                 	                 	                  	              	207	1258	A	 21	R	CC	  16.00	    197.4900	forams   	Planktonic Foraminifers                      	C              	P                 	                 	                      	                         	                       	                   	                     	                              	                   	                    	                       	                   	                          	                           	                    	                  	                                   	                         	                      	                            	                            	                       	                         	                  	                        	                         	                             	                      	                       	                        	                       	                             	                         	                             	                   	                       	                             	                       	                     	                     	                        	                           	                           	                         	                         	                        	                        	                         	                       	                          	                        	                              	                           	                      	                  	                              	                               	                     	                         	                        	                         	                           	                   	                      	                          	                    	P                	P                	               	                        	P                       	                        	P                     	P                           	                        	                      	                       	                      	               	                	                    	                  	P                  	                      	                           	                      	                           	                      	                    	                     	                    	                    	                             	                       	                       	                          	                	                   	                         	                  	                       	                       	                             	                       	                      	                   	                  	                         	                       	                       	                    	                   	                        	                    	                      	                     	                        	                	                  	                        	                     	                 	                            	                   	                      	                      	                           	                          	               	                  	                         	                         	                       	                              	                         	                       	                 	                         	                          	                         	                       	                                 	                        	                     	                  	                            	                          	                   	       

  IR	                 	                 	                  	              	207	1258	A	 22	R	CC	   0.00	    204.3100	forams   	Planktonic Foraminifers                      	C              	M                 	                 	                      	                         	                       	                   	                     	                              	                   	                    	                       	                   	                          	                           	                    	                  	                                   	                         	                      	                            	                            	                       	                         	                  	                        	                         	                             	                      	                       	                        	                       	                             	                         	                             	                   	                       	                             	                       	                     	                     	                        	                           	                           	                         	                         	                        	                        	                         	                       	                          	                        	                              	                           	                      	                  	                              	                               	                     	                         	                        	                         	                           	                   	                      	                          	                    	P                	P                	               	                        	P                       	                        	P                     	P                           	                        	P                     	                       	P                     	               	                	                    	P                 	                   	                      	P                          	                      	                           	                      	                    	                     	                    	                    	                             	                       	                       	                          	                	                   	                         	                  	                       	                       	                             	                       	                      	                   	                  	                         	                       	                       	                    	                   	                        	                    	                      	                     	                        	                	                  	                        	                     	                 	                            	                   	                      	                      	                           	                          	               	                  	                         	                         	                       	                              	                         	                       	                 	                         	                          	                         	                       	                                 	                        	                     	                  	                            	                          	                   	       
