Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Triceratium polymorphus,Triceratium pileus,Triceratium groningensis,Thalassiothrix longissima,Thalassiosira spumellaroides,Thalassiosira spinosa,Thalassiosira primalabiata,Thalassiosira fraga,Thalassiosira bukryi,Thalassionema nitzschioides  var. parva,Thalassionema nitzschioides,Synedra jouseana f. linearis,Synedra jouseana and miocenica,Stephanopyxis turris ex. group,Simonseniella praebarboi,Simonseniella barboi,Rossiella symmetrica,Rossiella paleacea,Rocella vigilans (large),Rocella sp.,Rocella semigelida,Rocella gelida  var. schraderi,Rocella gelida,Rhizosolenia styliformis,Rhizosolenia sp.cf. R.oligocaenica,Rhizosolenia hebetata f. hiemalis,Raphidodiscus marylandicus,Pyxilla fragments,Pleurosigma planktonica,Paralia sulcata,Nitzschia pusilla,Nitzschia maleinterpretaria,Nitzschia grossepunctata,Neobrunia mirabilis,Macrora stella,Lithodesmium sp. 2,Lisitzinia ornata,Hemiaulus taurus,Hemiaulus sp.,Hemiaulus polymorphus,Hemiaulus polycystinorum,Diatoms gen.et sp.indet. (opaque),Diatom gen. et sp. indet. (blade),Denticulopsis punctata var. hustedtii,Denticulopsis punctata,Denticulopsis maccollumii,Denticulopsis lauta and hustedtii (copulae),Denticulopsis lauta,Denticulopsis hyalina,Denticulopsis hustedtii,Crucidenticula nicobarica,Crucidenticula kanayae,Coscinodiscus rhombicus,Coscinodiscus marginatus,Coscinodiscus lewisianus var. robustus,Coscinodiscus lewisianus var. rhomboides,Coscinodiscus lewisianus,Coscinodiscus endoi,Cestodiscus robustus,Cestodiscus peplum,Azpeitia salisburyana,Azpeitia praenodulifera,Asteromphalus oligocenicus,Asteromphalus inaegabilis,Asterolampra tela,Actinocyclus spp.,Actinocyclus radionovae,Actinocyclus ingens  var. nodus,Actinocyclus ingens,Actinocyclus ellipticus,Thalassiothrix miocenica,Thalassiosira sp. cf. T.multipora,Thalassiosira praeoestrupii,Thalassiosira praeconvexa,Thalassiosira plicata,Thalassiosira oestrupii,Thalassiosira nativa,Thalassiosira lentiginosa,Thalassiosira insigna,Thalassiosira hyalinopsis,Thalassiosira convexa var. aspinosa,Stephanopyxis turris,Rouxia spp. (other),Rouxia sp. 1,Rouxia naviculoides,Rouxia isopolica,Rouxia ciesielski,Rouxia californica,Nitzschia spp. (other),Nitzschia sp. cf. N.denticuloides,Nitzschia sp. 14,Nitzschia sicula var. rostrata,Nitzschia reinholdii,Nitzschia praereinholdii,Nitzschia porteri,Nitzschia marina,Nitzschia januaria,Nitzschia heteropolica,Nitzschia fossilis,Nitzschia denticuloides,Nitzschia cylindrica,Nitzschia clementia,Nitzschia claviceps,Lithodesmium sp. cf. L.minusculum,Lithodesmium cornigerum,Hemidiscus triangularus,Hemidiscus karstenii f.1,Hemidiscus karstenii,Hemidiscus cuneiformis,Eucampia antarctica,Denticulopsis sp. (copulae),Denticulopsis sp.,Denticulopsis miocenica,Denticulopsis hustedtii var. ovata,Denticulopsis dimorpha,Cosmiodiscus intersectus,Asteromphalus kennettii,Actinocyclus ehrenbergii var. tenella,Actinocyclus cubitus,Actinocyclus ingens var. planus,Thalassiosira vulnifica,Thalassiosira kolbei,Thalassiosira elliptipora,Coscinodiscus insignis,Thalassiosira sp. cf. T.vulnifica,Thalassiosira praevulnifica,Thalassiosira lineata,Thalassiosira lentiginosa var. ovalis,Thalassiosira elliptipora (very elongate aerolae),Thalassiosira convexa,Rouxia spp.,Rhizosolenia sp. A,Rhizosolenia hebetata f. semispina,Nitzschia weaveri,Nitzschia sp. cf. N.interfrigidaria,Nitzschia sp. aff. N.praeinterfrigidaria,Nitzschia praeinterfrigidaria,Nitzschia kerguelenis,Nitzschia jouseae,Nitzschia interfrigidaria,Nitzschia angulata,Ethmodiscus sp. (fragments),Coscinodiscus tabularis,Coscinodiscus lineatus,Charcotia actinochilus,Chaetoceros sp. (spines),Asteromphalus parvulus,Asteromphalus hookeri,Actinocyclus ingens (ovate form),Actinocyclus divisus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B,  8,H, 4,  10.00,     67.9600,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                  ,                        ,                         ,                            ,                     ,                          ,                   ,                    ,                                       ,                           ,                            ,                              ,                              ,                        ,                    ,                    ,                  ,                        ,           ,                  ,                              ,              ,                        ,                                  ,                                 ,                          ,                 ,                       ,               ,                 ,                           ,                        ,                   ,              ,                  ,                 ,                ,             ,                     ,                        ,                                 ,                                 ,                                     ,                      ,                         ,                                           ,                   ,                     ,                       ,                         ,                      ,                       ,                        ,                                      ,                                        ,                        ,                   ,                    ,                  ,                     ,                       ,                          ,                         ,                 ,                 ,                       ,                               ,                   ,                       ,                        ,                                 ,                           ,                         ,                     ,                       ,                    ,                         ,                     ,                         ,                                   ,                    ,                   ,            ,                   ,                ,                 ,                  ,                      ,                                 ,                ,                              ,                    ,                        ,                 ,                ,                  ,                      ,                  ,                       ,                    ,                   ,                   ,                                 ,                       ,                       ,                        ,                    ,                      ,                   ,                           ,                 ,                       ,                                  ,                      ,                        ,                       ,                                     ,                    ,8.9%                           ,.8%                    ,                    ,                         ,                      ,                                 ,                           ,                     ,                                     ,                                                 ,                     ,           ,                  ,                                  ,                 ,                                   ,                                        ,                             ,                     ,                 ,                         ,                  ,                           ,                       ,                      ,                      ,                        ,                      ,                     ,                                ,                    ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B,  8,H, 4,  50.00,     68.3600,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                  ,                        ,                         ,                            ,                     ,                          ,                   ,                    ,                                       ,                           ,                            ,                              ,                              ,                        ,.3%                 ,                    ,                  ,                        ,           ,                  ,                              ,              ,                        ,                                  ,                                 ,                          ,                 ,                       ,               ,                 ,                           ,                        ,                   ,              ,                  ,                 ,                ,             ,                     ,                        ,                                 ,                                 ,                                     ,                      ,                         ,                                           ,                   ,                     ,                       ,                         ,                      ,                       ,                        ,                                      ,                                        ,                        ,                   ,                    ,                  ,                     ,                       ,                          ,                         ,                 ,                 ,                       ,                               ,                   ,                       ,                        ,                                 ,                           ,                         ,                     ,                       ,                    ,                         ,                     ,                         ,                                   ,                    ,                   ,            ,                   ,                ,                 ,                  ,                      ,                                 ,                ,                              ,                    ,                        ,                 ,                ,                  ,                      ,                  ,                       ,                    ,                   ,                   ,                                 ,                       ,                       ,                        ,                    ,                      ,                   ,                           ,                 ,                       ,                                  ,                      ,                        ,                       ,                                     ,                    ,22.2%                          ,                       ,                    ,                         ,                      ,                                 ,                           ,                     ,                                     ,                                                 ,                     ,           ,                  ,                                  ,                 ,                                   ,                                        ,                             ,                     ,                 ,                         ,                  ,                           ,                       ,                      ,                      ,                        ,                      ,                     ,                                ,                    ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B,  8,H,CC,  11.00,     68.6100,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                  ,                        ,                         ,                            ,                     ,                          ,                   ,                    ,                                       ,                           ,                            ,                              ,                              ,                        ,.2%                 ,                    ,                  ,                        ,           ,                  ,                              ,              ,                        ,                                  ,                                 ,                          ,                 ,                       ,               ,                 ,                           ,                        ,                   ,              ,                  ,                 ,                ,             ,                     ,                        ,                                 ,                                 ,                                     ,                      ,                         ,                                           ,                   ,                     ,                       ,                         ,                      ,                       ,                        ,                                      ,                                        ,                        ,                   ,                    ,                  ,                     ,                       ,                          ,                         ,                 ,                 ,                       ,                               ,                   ,                       ,                        ,                                 ,                           ,                         ,                     ,                       ,                    ,                         ,                     ,                         ,                                   ,                    ,                   ,            ,                   ,                ,                 ,                  ,                      ,                                 ,                ,                              ,                    ,                        ,                 ,                ,                  ,                      ,                  ,                       ,                    ,                   ,                   ,                                 ,                       ,                       ,                        ,                    ,                      ,                   ,                           ,                 ,                       ,                                  ,                      ,                        ,                       ,                                     ,                    ,35.7%                          ,.2%                    ,                    ,                         ,                      ,                                 ,                           ,                     ,                                     ,                                                 ,                     ,           ,                  ,                                  ,                 ,                                   ,                                        ,                             ,                     ,                 ,                         ,                  ,                           ,                       ,                      ,                      ,                        ,                      ,                     ,                                ,                    ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B,  9,H, 1,  10.00,     73.3000,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                  ,                        ,                         ,                            ,                     ,                          ,                   ,                    ,                                       ,                           ,                            ,                              ,                              ,                        ,.4%                 ,                    ,                  ,                        ,           ,                  ,                              ,              ,                        ,                                  ,                                 ,                          ,                 ,                       ,               ,                 ,                           ,                        ,                   ,              ,                  ,                 ,                ,             ,                     ,                        ,                                 ,                                 ,                                     ,                      ,                         ,                                           ,                   ,                     ,                       ,                         ,                      ,                       ,                        ,                                      ,                                        ,                        ,                   ,                    ,                  ,                     ,                       ,                          ,                         ,                 ,                 ,                       ,                               ,                   ,                       ,                        ,                                 ,                           ,                         ,                     ,                       ,                    ,                         ,                     ,                         ,                                   ,                    ,                   ,            ,                   ,                ,                 ,                  ,                      ,                                 ,                ,                              ,                    ,                        ,                 ,                ,                  ,                      ,                  ,                       ,                    ,                   ,                   ,                                 ,                       ,                       ,                        ,                    ,                      ,                   ,                           ,                 ,                       ,                                  ,                      ,                        ,                       ,                                     ,                    ,20.1%                          ,.7%                    ,                    ,                         ,                      ,                                 ,                           ,                     ,                                     ,                                                 ,                     ,           ,                  ,                                  ,                 ,                                   ,                                        ,                             ,                     ,                 ,                         ,                  ,                           ,                       ,                      ,                      ,                        ,                      ,                     ,                                ,                    ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B,  9,H, 1,  50.00,     73.7000,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                  ,                        ,                         ,                            ,                     ,                          ,                   ,                    ,                                       ,                           ,                            ,                              ,                              ,                        ,.4%                 ,                    ,                  ,                        ,           ,                  ,                              ,              ,                        ,                                  ,                                 ,                          ,                 ,                       ,               ,                 ,                           ,                        ,                   ,              ,                  ,                 ,                ,             ,                     ,                        ,                                 ,                                 ,                                     ,                      ,                         ,                                           ,                   ,                     ,                       ,                         ,                      ,                       ,                        ,                                      ,                                        ,                        ,                   ,                    ,                  ,                     ,                       ,                          ,                         ,                 ,                 ,                       ,                               ,                   ,                       ,                        ,                                 ,                           ,                         ,                     ,                       ,                    ,                         ,                     ,                         ,                                   ,                    ,                   ,            ,                   ,                ,                 ,                  ,                      ,                                 ,                ,                              ,                    ,                        ,                 ,                ,                  ,                      ,                  ,                       ,                    ,                   ,                   ,                                 ,                       ,                       ,                        ,                    ,                      ,                   ,                           ,                 ,                       ,                                  ,                      ,                        ,                       ,                                     ,                    ,18.4%                          ,.8%                    ,                    ,                         ,                      ,                                 ,                           ,                     ,                                     ,                                                 ,                     ,           ,                  ,                                  ,                 ,                                   ,                                        ,                             ,                     ,                 ,                         ,                  ,                           ,                       ,                      ,                      ,                        ,                      ,                     ,                                ,                    ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B,  9,H, 1,  90.00,     74.1000,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                  ,                        ,                         ,                            ,                     ,                          ,                   ,                    ,                                       ,                           ,                            ,                              ,                              ,                        ,1.0%                ,                    ,                  ,                        ,           ,                  ,                              ,              ,                        ,                                  ,                                 ,                          ,                 ,                       ,               ,                 ,                           ,                        ,                   ,              ,                  ,                 ,                ,             ,                     ,                        ,                                 ,                                 ,                                     ,                      ,                         ,                                           ,                   ,                     ,                       ,                         ,                      ,                       ,                        ,                                      ,                                        ,                        ,                   ,                    ,                  ,                     ,                       ,                          ,                         ,                 ,                 ,                       ,                               ,                   ,                       ,                        ,                                 ,                           ,                         ,                     ,                       ,                    ,                         ,                     ,                         ,                                   ,                    ,                   ,            ,                   ,                ,                 ,                  ,                      ,                                 ,                ,                              ,                    ,                        ,                 ,                ,                  ,                      ,                  ,                       ,                    ,                   ,                   ,                                 ,                       ,                       ,                        ,                    ,                      ,                   ,                           ,                 ,                       ,                                  ,                      ,                        ,                       ,                                     ,                    ,26.9%                          ,.7%                    ,                    ,                         ,                      ,                                 ,                           ,                     ,                                     ,                                                 ,                     ,           ,                  ,                                  ,                 ,                                   ,                                        ,                             ,                     ,                 ,                         ,                  ,                           ,                       ,                      ,                      ,                        ,                      ,                     ,                                ,                    ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B,  9,H, 1, 130.00,     74.5000,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                  ,                        ,                         ,                            ,                     ,                          ,                   ,                    ,                                       ,                           ,                            ,                              ,                              ,                        ,.3%                 ,                    ,                  ,                        ,           ,                  ,                              ,              ,                        ,                                  ,                                 ,                          ,                 ,                       ,               ,                 ,                           ,                        ,                   ,              ,                  ,                 ,                ,             ,                     ,                        ,                                 ,                                 ,                                     ,                      ,                         ,                                           ,                   ,                     ,                       ,                         ,                      ,                       ,                        ,                                      ,                                        ,                        ,                   ,                    ,                  ,                     ,                       ,                          ,                         ,                 ,                 ,                       ,                               ,                   ,                       ,                        ,                                 ,                           ,                         ,                     ,                       ,                    ,                         ,                     ,                         ,                                   ,                    ,                   ,            ,                   ,                ,                 ,                  ,                      ,                                 ,                ,                              ,                    ,                        ,                 ,                ,                  ,                      ,                  ,                       ,                    ,                   ,                   ,                                 ,                       ,                       ,                        ,                    ,                      ,                   ,                           ,                 ,                       ,                                  ,                      ,                        ,                       ,                                     ,                    ,21.4%                          ,1.7%                   ,.3%                 ,                         ,                      ,                                 ,                           ,                     ,                                     ,                                                 ,                     ,           ,                  ,                                  ,                 ,                                   ,                                        ,                             ,                     ,                 ,                         ,                  ,                           ,                       ,                      ,                      ,                        ,                      ,                     ,                                ,                    ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B,  9,H, 2,  10.00,     74.8000,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                  ,                        ,                         ,                            ,                     ,                          ,                   ,                    ,                                       ,                           ,                            ,                              ,                              ,                        ,.2%                 ,                    ,                  ,                        ,           ,                  ,                              ,              ,                        ,                                  ,                                 ,                          ,                 ,                       ,               ,                 ,                           ,                        ,                   ,              ,                  ,                 ,                ,             ,                     ,                        ,                                 ,                                 ,                                     ,                      ,                         ,                                           ,                   ,                     ,                       ,                         ,                      ,                       ,                        ,                                      ,                                        ,                        ,                   ,                    ,                  ,                     ,                       ,                          ,                         ,                 ,                 ,                       ,                               ,                   ,                       ,                        ,                                 ,                           ,                         ,                     ,                       ,                    ,                         ,                     ,                         ,                                   ,                    ,                   ,            ,                   ,                ,                 ,                  ,                      ,                                 ,                ,                              ,                    ,                        ,                 ,                ,                  ,                      ,                  ,                       ,                    ,                   ,                   ,                                 ,                       ,                       ,                        ,                    ,                      ,                   ,                           ,                 ,                       ,                                  ,                      ,                        ,                       ,                                     ,                    ,22.8%                          ,.7%                    ,                    ,                         ,                      ,                                 ,                           ,                     ,                                     ,                                                 ,                     ,           ,                  ,                                  ,                 ,                                   ,                                        ,                             ,                     ,                 ,                         ,                  ,                           ,                       ,                      ,                      ,                        ,                      ,                     ,                                ,                    ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B,  9,H, 2,  50.00,     75.2000,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                  ,                        ,                         ,                            ,                     ,                          ,                   ,                    ,                                       ,                           ,                            ,                              ,                              ,                        ,.4%                 ,                    ,                  ,                        ,           ,                  ,                              ,              ,                        ,                                  ,                                 ,                          ,                 ,                       ,               ,                 ,                           ,                        ,                   ,              ,                  ,                 ,                ,             ,                     ,                        ,                                 ,                                 ,                                     ,                      ,                         ,                                           ,                   ,                     ,                       ,                         ,                      ,                       ,                        ,                                      ,                                        ,                        ,                   ,                    ,                  ,                     ,                       ,                          ,                         ,                 ,                 ,                       ,                               ,                   ,                       ,                        ,                                 ,                           ,                         ,                     ,                       ,                    ,                         ,                     ,                         ,                                   ,                    ,                   ,            ,                   ,                ,                 ,                  ,                      ,                                 ,                ,                              ,                    ,                        ,                 ,                ,                  ,                      ,                  ,                       ,                    ,                   ,                   ,                                 ,                       ,                       ,                        ,                    ,                      ,                   ,                           ,                 ,                       ,                                  ,                      ,                        ,                       ,                                     ,                    ,25.7%                          ,.2%                    ,                    ,                         ,                      ,                                 ,                           ,                     ,                                     ,                                                 ,                     ,           ,                  ,                                  ,                 ,                                   ,                                        ,                             ,                     ,                 ,                         ,                  ,                           ,                       ,                      ,                      ,                        ,                      ,                     ,                                ,                    ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B,  9,H, 2,  90.00,     75.6000,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                  ,                        ,                         ,                            ,                     ,                          ,                   ,                    ,                                       ,                           ,                            ,                              ,                              ,                        ,                    ,                    ,                  ,                        ,           ,                  ,                              ,              ,                        ,                                  ,                                 ,                          ,                 ,                       ,               ,                 ,                           ,                        ,                   ,              ,                  ,                 ,                ,             ,                     ,                        ,                                 ,                                 ,                                     ,                      ,                         ,                                           ,                   ,                     ,                       ,                         ,                      ,                       ,                        ,                                      ,                                        ,                        ,                   ,                    ,                  ,                     ,                       ,                          ,                         ,                 ,                 ,                       ,                               ,                   ,                       ,                        ,                                 ,                           ,                         ,                     ,                       ,                    ,                         ,                     ,                         ,                                   ,                    ,                   ,            ,                   ,                ,                 ,                  ,                      ,                                 ,                ,                              ,                    ,                        ,                 ,                ,                  ,                      ,                  ,                       ,                    ,                   ,                   ,                                 ,                       ,                       ,                        ,                    ,                      ,                   ,                           ,                 ,                       ,                                  ,                      ,                        ,                       ,                                     ,                    ,17.7%                          ,                       ,                    ,                         ,                      ,                                 ,                           ,                     ,                                     ,                                                 ,                     ,           ,                  ,                                  ,                 ,                                   ,                                        ,                             ,                     ,                 ,                         ,                  ,                           ,                       ,                      ,                      ,                        ,                      ,                     ,                                ,                    ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,114, 704,B,  9,H, 2, 130.00,     76.0000,Fenner   ,Diatoms                                      ,               ,                  ,                       ,                  ,                        ,                         ,                            ,                     ,                          ,                   ,                    ,                                       ,                           ,                            ,                              ,                              ,                        ,                    ,                    ,                  ,                        ,           ,                  ,                              ,              ,                        ,                                  ,                                 ,                          ,                 ,                       ,               ,                 ,                           ,                        ,                   ,              ,                  ,                 ,                ,             ,                     ,                        ,                                 ,                                 ,                                     ,                      ,                         ,                                           ,                   ,                     ,                       ,                         ,                      ,                       ,                        ,                                      ,                                        ,                        ,                   ,                    ,                  ,                     ,                       ,                          ,                         ,                 ,                 ,                       ,                               ,                   ,                       ,                        ,                                 ,                           ,                         ,                     ,                       ,                    ,                         ,                     ,                         ,                                   ,                    ,                   ,            ,                   ,                ,                 ,                  ,                      ,                                 ,                ,                              ,                    ,                        ,                 ,                ,                  ,                      ,                  ,                       ,                    ,                   ,                   ,                                 ,                       ,                       ,                        ,                    ,                      ,                   ,                           ,                 ,                       ,                                  ,                      ,                        ,                       ,                                     ,                    ,14.3%                          ,.5%                    ,                    ,                         ,                      ,                                 ,                           ,                     ,                                     ,                                                 ,                     ,           ,                  ,                                  ,                 ,                                   ,                                        ,                             ,                     ,                 ,                         ,                  ,                           ,                       ,                      ,                      ,                        ,                      ,                     ,                                ,                    ,from ODP Leg 114 SR Chapter 5 Appendix p 110-118
