Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name,Preservation,Group abundance,General comment,Abyssamina incisa,Abyssamina poagi,Abyssammina quadrata,Abyssammina spp.,Alabamina creta,Alabamina sp.,Alabamina tenuimarginata,Alabamina wilcoxensis,Alabaminella weddellensis,Allomorphina conica,Allomorphina pacifica,Allomorphina polonica,Allomorphina velascoensis,Allomorphina whangaia,Ammobaculites spp.,Ammodiscus cretaceus,Ammodiscus sp.,Ammodiscus spp.,Ammonia beccarii,Amphistegina sp.,Angulogerina muralis,Anomalina aotea,Anomalina visenda,Anomalinoides acutus,Anomalinoides affinis,Anomalinoides ammonoides,Anomalinoides capitatus,Anomalinoides fasciatus,Anomalinoides globosus,Anomalinoides orbiculus,Anomalinoides parvumbilia,Anomalinoides piripaua,Anomalinoides rubiginosus,Anomalinoides rubignosus,Anomalinoides semicribratus,Anomalinoides semiteres,Anomalinoides sphericus,Anomalinoides spissiformis,Anomalinoides spp.,Anomalinoides vitrinodus,Aragonia aragonensis,Aragonia tenera,Aragonia velascoensis,Aragonia zelandica,Arenobulimina sp.,Arenobulimina truncata,Arenodosaria antipoda,Astacolus spp.,Asterigerina sp.,Asterigerina spp.,Astrononion parki,Astrononion sp.,Astrorhizids,Bathysiphon sp.,Bigenerina burri,Bigenerina nodosaria,Bigenerina pliocenica,Bigerenina sp.,Bolivina affiliata,Bolivina albatrossi,Bolivina barnwelli,Bolivina byramensis,Bolivina decussata,Bolivina fyfei,Bolivina lapsus,Bolivina minuta,Bolivina parri,Bolivina pontis,Bolivina punctatostriata,Bolivina pusilla,Bolivina reticulata,Bolivina semitruncata,Bolivina sp.,Bolivina wanganuiensis,Bolivina watti,Bolivina zedirecta,Bolivinella spp.,Bolivinita compressa,Bolivinita elegantissima,Bolivinita finlayi,Bolivinita pliozea,Bolivinita pohana,Bolivinita quadrilatera,Bolivinoides decoratus,Bolivinoides delicatulus,Budashevaella multicamerata,Bueningia creeki,Bulimina aculeata,Bulimina alazanensis,Bulimina bortonica,Bulimina callahani,Bulimina elongata,Bulimina farafraensis,Bulimina forticosta,Bulimina impendens,Bulimina inflata,Bulimina jarvisi,Bulimina kickapooensis,Bulimina kugleri,Bulimina macilenta,Bulimina mapiria,Bulimina marginata,Bulimina midwayensis,Bulimina miolaevis,Bulimina patagonica,Bulimina prolixa,Bulimina pupula,Bulimina rostrata,Bulimina semicostata,Bulimina senta,Bulimina serratospinosa,Bulimina simplex,Bulimina spp.,Bulimina subbortonica,Bulimina thanetensis,Bulimina translucens,Bulimina trinitatensis,Bulimina truncanella,Bulimina tuxpamensis,Bulimina velascoensis,Bulimina virginiana,Buliminella beaumonti,Buliminella browni,Buliminella creta,Buliminella grata,Buliminella sp.,Bullimina semicostata,C. eocaenus,Cancris lateralis,Cassidulina carinata,Cassidulina crassa,Cassidulina cuneata,Cassidulina laevigata,Cassidulina sp.,Cassidulina spp.,Cassidulina sulcata,Cassidulinoides sp.,Caudammina spp.,Charltonina acutimarginata,Chilostomella oolina,Chilostomella ovoidea,Chilostomella sp.,Cibicides amoenus,Cibicides collinsi,Cibicides deliquatus,Cibicides finlayi,Cibicides hampdenensis,Cibicides ihungia,Cibicides karreriformis,Cibicides kullenbergi,Cibicides lobatulus,Cibicides maculatus,Cibicides marlboroughensis,Cibicides molestus,Cibicides mundulus,Cibicides neoperforatus,Cibicides notocenicus,Cibicides novozelandicus,Cibicides pachyderma,Cibicides parki,Cibicides perforatus,Cibicides robertsonianus,Cibicides rugosa,Cibicides semiperforatus,Cibicides spp.,Cibicides subhaidingeri,Cibicides thiara,Cibicides thiaracuta,Cibicides tholus,Cibicides verucosus,Cibicides victoriensis,Cibicides vortex,Cibicidina walli,Cibicidoides bradyi,Cibicidoides dayi,Cibicidoides dohmi,Cibicidoides ekblomi,Cibicidoides eocaenus,Cibicidoides grimsdalei,Cibicidoides havanensis,Cibicidoides howelli,Cibicidoides hyphalus,Cibicidoides incrassatus,Cibicidoides laurisae,Cibicidoides micrus,Cibicidoides mundulus,Cibicidoides naranjoensis,Cibicidoides praemundulus,Cibicidoides proprius,Cibicidoides pseudoperlucidus,Cibicidoides robertsonianus,Cibicidoides sp.,Cibicidoides spp.,Cibicidoides subhaidingerii,Cibicidoides truncanus,Cibicidoides velascoensis,Cibicidoides westi,Citharina plumoides,Clavulinoides amorpha,Clavulinoides sp.,Clavulinoides trilatera,Clinapertina complanata,Clinapertina inflata,Clinapertina subplanispira,Conotrochammina depressa,Conotrochammina whangaia,Coryphostoma incrassata,Coryphostoma midwayensis,Coryphostoma spp.,Cricrostomoides spp.,Cyclammina amplectens,Cyclammina elegans,Cyclammina incisa,Cyclammina rotundata,Cyclammina spp.,Dentalina sp.,Discorbids,Discorbinella bertheloti,Discorbinella scopos,Discorbinella sp.,Discorbinella spp.,Discorbinella turgida,Discorbis dimidiatus,Discorotalia spp.,Dorothia  bulleta,Dorothia agrestis,Dorothia elongata,Dorothia minima,Dorothia pupa,Dorothia spp.,Dorothia trochoides,Dorthia biformis,Eggerella bradyi,Eggerella columna,Eggerella decepta,Eggerella ihungia,Eggerella spp.,Ehrenbergina bicornis,Ehrenbergina marwicki,Ehrenbergina sp.,Elphidium hampdenense,Elphidium novozealandicum,Elphidium saginatum,Elphidium spp.,Eouvigerina spp.,Eouvigerina subsculptura,Epistominella exigua,Epistominella vitrea,Euuvigerina bortotara,Euuvigerina elongata,Euuvigerina maynei,Euuvigerina miozea,Euuvigerina notohispida,Euuvigerina peregrina,Euuvigerina picki,Euuvigerina pliozea,Euuvigerina rodleyi,Euuvigerina spp.,Euuvigerina wanzea,Evolvocassidulina spp.,Favocassidulina favus,Favulina spp.,Fissurina spp.,Frondicularia sp.,Frondicularia teuria,Fursenkoina bradyi,Fursenkoina sp.,Fursenkoina spp.,Fursenkoina tegulata,Gaudryina proreussi,Gaudryina pyramidata,Gaudryina quadrazea,Gaudryina reliqua,Gaudryina reussi,Gaudryina sp.,Gaudryina spp.,Gaudryina whangaia,Gavelinella danica,Gavelinella sp.,Glandulina sp.,Globobulimina pacifica,Globocassidulina spp.,Globocassidulina subglobosa,Globorotalites sp.,Globulina prisca,Globulina spp.,Glomospira charoides,Glomospira spp.,Guttulina spp.,Gyroidinoides allani,Gyroidinoides beisseli,Gyroidinoides depressus,Gyroidinoides girardanus,Gyroidinoides globosus,Gyroidinoides goudkoffi,Gyroidinoides neosoldanii,Gyroidinoides planulatus,Gyroidinoides sp.,Gyroidinoides spp.,Gyroidinoides zelandicus,Haeuslerella finlayi,Haeuslerella hectori,Haeuslerella morgani,Haeuslerella parri,Haeuslerella pukeuriensis,Haeuslerella textilariformis,Hanzawaia ammophila,Hanzawaia bertheloti,Hanzawaia complanata,Hanzawaia mantaensis,Hanzawaia sp.,Hanzawaia turgida,Haplophragmoides spp.,Heronallenia cf. polita,Heronallenia lingulata,Heronallenia spp.,Heterolepa spp.,Hoeglundina elegans,Hoeglundina spp.,Hopkinsina mioindex,Karreria cf. fallax,Karreria spp.,Karreriella bradyi,Karreriella chilostoma,Karreriella cylindrica,Karreriella novozealandica,Karrerulina aegra,Karrerulina bortonica,Karrerulina cushmani,Laevidentalina spp.,Lagena  globosa,Lagena spp.,Lagenids,Lagenoglandulina annulata,Lamarckina sp.,Laticarinina pauperata,Laticarinina sp.,Lenticulina calcar,Lenticulina mamilligera,Lenticulina spp.,Loxostomoides bortonica,Loxostomum incrassata,Loxostomum karrerianum,Loxostomum limonense,Loxostomum pakaurangiensis,Loxostomum truncatum,Marginulina sp.,Marginulinopsis spinobesa,Marssonella oxycona,Marssonella spp.+Dorothia spp.,Martinotiella communis,Martinotiella sp.,Matanzia mahoenuica,Matanzia varians,Melonis affinis,Melonis barleeanum,Melonis dorreeni,Melonis maorica,Melonis pompilioides,Melonis sp.,Miliolids,Mucronina subtetragona,Neoeponides spp.,Neoflabellina semireticulata,Neoflabellina sp.,Nodosariids,Nonion havanense,Nonion spp.,Nonion stachei,Nonionella cretacea,Nonionella flemingi,Nonionella sp.,Nonionella spp.,Notorotalia finlayi,Notorotalia kingmai,Notorotalia spinosa,Notorotalia spp.,Notorotalia stachei,Notorotalia taranakia,Notorotalia zelandica,Nuttallides carinotruempyi,Nuttallides spp.,Nuttallides truempyi,Nuttallides umbonifera,Nuttallinella coronula,Nuttallinella florealis,Nuttallinella ripleyensis,Nuttallinella spp.,Oolina spp.,Oridorsalis plummerae,Oridorsalis sp.,Oridorsalis umbonatus,Osangularia cordieriana,Osangularia culter,Osangularia spp.,Osangularia velascoensis,Paliolatella orbignyana,Paracassidulina spp.,Paralabamina hillebrandti,Paralabamina lunata,Paralabamina spp.,Parvicarinina alticamerata,Planorbulinella zelandica,Planularia sp.,Planularia spp.,Planulina renzi,Planulina sp.,Planulina spp.,Planulina wuellerstorfi,Plectofrondicularia awamoana,Plectofrondicularia parri,Plectofrondicularia pohana,Plectofrondicularia proparri,Plectofrondicularia whaingaroica,Pleurostomella acuta,Pleurostomella greatvalleyensis,Pleurostomella spp.,Polymorphinids,Praebulimina reussi,Praebulimina sp.,Pseudoclavulina anglica,Pseudopolimorphina cuyleri,Pseudouvigerina plummerae,Pseudouvigerina spp.,Pullenia bulloides,Pullenia jarvisi,Pullenia quinqueloba,Pullenia sp.,Pyramidina rudita,Pyramidina sp.,Quadratobuliminella pyramidalis,Quadrimorphina allomorphinoides,Quadrimorphina profunda,Quinqueloculina sp.,Ramulina spp.,Rectobolivina maoria,Rectobolivina maoriella,Rectobolivina parvula,Rectobolivina striatula,Rectuvigerina multicostata,Rectuvigerina pohana,Rectuvigerina postprandia,Rectuvigerina prisca,Rectuvigerina rerensis,Rectuvigerina royoi,Rectuvigerina sp.,Rectuvigerina striatissima,Reusella oberburgensis,Reusella sp.,Reusella szajnochae,Rotaliatina sulcigera,Rzehakina epigona,Rzehakina spp.,Saccammina placenta,Saccammina spp.,Saracenaria italica,Saracenaria sp.,Schenkiella weymouthi,Seabrookia rugosa,Sigmoilopsis neocelata,Sigmoilopsis schlumbergeri,Sigmoilopsis zeaserus,Siphogenerinoides brevispinosa,Siphogenerinoides eleganta,Siphogerenina pacifica,Siphogerenina spp.,Siphonina australis,Siphonina tubulosa,Siphotextularia acutangula,Siphotextularia finlayi,Siphotextularia sp.,Siphotextularia wairoana,Siphouvigerina notohispida,Siphouvigerina plebeja,Siphouvigerina sp.,Sliteria varsoviensis,Sphaeroidina bulloides,Sphaeroidina variabilis,Spiroloculina canaliculata,Spiroloculina novozealandica,Spiroplectammina compta,Spiroplectammina cubensis,Spiroplectammina excolata,Spiroplectammina israelsky,Spiroplectammina spectabilis,Spiroplectammina spp.,Spiroplectammina steinekei,Spiroplectoides cubensis,Stainforthia complanata,Stainforthia spp.,Stensioeina beccariiformis,Stensioina beccariiformis,Stillostomellids,Stilostomella subspinosa,Tappanina glaessneri,Tappanina olsoni,Tappanina selmensis,Textularia agglutinans,Textularia conica,Textularia earlandi,Textularia gladizea,Textularia kapitea,Textularia lythostrota,Textularia miozea,Textularia secasensis,Textularia spp.,Textularia zeaggluta,Trifarina brady,Trifarina carinata,Trifarina ototara,Trifarina spp.,Tritaxia instar,Tritaxilina zealandica,Trochamminids,Turrilina brevispira,Uvigerina carapitana,Uvigerina hispida,Uvigerina peregrina,Uvigerina proboscidea,Uvigerina rippensis,Uvigerina spp.,Vaginulinopsis hochstetteri,Vaginulinopsis marshalli,Vaginulinopsis marwicki,Vaginulinopsis spp.,Vaginulinopsis waiparaensis,Vaginulinopsis zeacarinata,Valvalabamina lenticula,Valvulineria teuriensis,Verneuillina sp.,Virgulina sp.,Virgulopsis spp.,Vulvulina bortonica,Vulvulina bueningi,Vulvulina colei,Vulvulina granulosa,Vulvulina pennatula,Vulvulina sp.,Vulvulina spinosa,Vulvulina zespinosa,Zeaflorilus parri,ADDITIONAL SPECIES,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
371-U1507B-40R-CC-PAL-FORAM,0,10,738.98,739.08,NP17-NP18,P,P,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,F,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,A,,,,,,,,,,,,,,,,,A,,,,,,,,,A,,F,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1507,B,40,R,CC,PAL,1e8e1bb28139fd79433d3819f3bb13d1
371-U1507B-41R-CC-PAL-FORAM,0,10,749.96,750.06,NP17,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,A,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1507,B,41,R,CC,PAL,6c78b070e2a46ac0b8523e04f3ca3315
371-U1507B-42R-CC-PAL-FORAM,0,10,757.17,757.27,NP17,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,D,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1507,B,42,R,CC,PAL,c752aa6687aa7a9d11291622f884d958
371-U1507B-43R-CC-PAL-FORAM,0,10,762.59,762.69,NP17,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,D,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1507,B,43,R,CC,PAL,612f12f64c80efdc967b40568c2bd27e
371-U1507B-44R-CC-PAL-FORAM,0,10,777.61,777.71,NP17,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,A,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1507,B,44,R,CC,PAL,feedc81dad2f7aa42b65fbd3ee6f7280
371-U1507B-45R-CC-PAL-FORAM,0,10,788.14,788.24,NP17,P,P,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,F,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,F,,,,,,,A,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1507,B,45,R,CC,PAL,2724f95492bde6bb3f47603514f22368
371-U1507B-46R-CC-PAL-FORAM,0,10,795.69,795.79,NP17,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,F,,,,,F,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1507,B,46,R,CC,PAL,35860fb2c13e42eba289d9b7a79e2f6d
371-U1507B-47R-CC-PAL-FORAM,0,10,805.75,805.85,NP17,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,A,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1507,B,47,R,CC,PAL,20e9f0d0a2c9fee5b1982dc6e95d12fe
371-U1507B-48R-CC-PAL-FORAM,0,10,817.23,817.33,NP17,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1507,B,48,R,CC,PAL,0b3ead1f5dede4bd7dcd244569fc3d32
371-U1507B-49R-CC-PAL-FORAM,0,10,825.54,825.64,NP17,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1507,B,49,R,CC,PAL,5d9c24a84ff3dc76d8133ea0f4b338d5
371-U1507B-50R-CC-PAL-FORAM,0,10,835.51,835.61,MECO,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,D,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1507,B,50,R,CC,PAL,bb3b147a7730da2d7c79dcf09ee5cd48
371-U1507B-51R-CC-PAL-FORAM,0,10,835.98,836.08,MECO,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,U1507,B,51,R,CC,PAL,23fb2c68edfa24d9b6be3eb90ec46031
